// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40ACF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber
06899		9.767384	2.745746	-1.071609	-0.524043	-0.561582	0.360748	0.536803	-0.146661	0.640788	-0.857422	0.396973	-0.413330	0.097593	0.027799	-0.010570	0.533955	0.560352	-0.519756	0.361596	127.098141	-73.800100	-44.729318						
06900		10.081292	3.173690	-1.814657	-0.852352	0.133642	0.876217	0.596395	-0.067718	0.747774	-0.862305	0.403564	-0.415527	0.100699	0.032167	-0.018017	0.530663	0.560003	-0.521103	0.365027	128.524518	-74.131773	-45.861134						
06901		10.129307	3.395072	-2.163159	-1.112324	0.478086	1.019751	0.680145	-0.021613	0.904026	-0.869629	0.416748	-0.411133	0.101140	0.034481	-0.021504	0.527014	0.559407	-0.522538	0.369153	130.152128	-74.532806	-47.152523						
06902		9.713922	3.393657	-2.420304	-1.275563	0.804247	0.649616	0.837626	0.049450	1.042455	-0.869873	0.427734	-0.420166	0.096954	0.034543	-0.024083	0.522779	0.558674	-0.523918	0.374293	132.065960	-75.016972	-48.641936						
06903		9.422074	4.083503	-2.208808	-2.162789	0.713423	0.441140	0.939032	0.063048	1.166394	-0.863770	0.438965	-0.411377	0.093973	0.041487	-0.021924	0.518093	0.557864	-0.525336	0.379987	134.281606	-75.536631	-50.382170						
06904		9.876740	3.934715	-1.937860	-2.129037	0.340363	0.776766	0.975141	0.099269	1.295406	-0.861816	0.452393	-0.426758	0.098500	0.040080	-0.019233	0.513070	0.556670	-0.526970	0.386238	136.858216	-76.110350	-52.466918						
06905		10.775228	3.619995	-1.858602	-1.867919	0.065565	1.552525	0.961839	0.131931	1.455575	-0.860352	0.472412	-0.420410	0.107472	0.037072	-0.018480	0.507878	0.554950	-0.528902	0.392877	139.824937	-76.727763	-54.957628						
06906		11.625579	3.253747	-1.582692	-1.623136	-0.383711	2.248005	0.899771	0.142709	1.637116	-0.852295	0.494629	-0.420410	0.115973	0.033559	-0.015760	0.502437	0.552493	-0.531436	0.399856	143.406837	-77.385425	-58.107541						
06907		11.770894	4.117436	-0.917420	-2.745476	-0.990346	2.345674	0.795488	0.124745	1.841472	-0.846436	0.512695	-0.416260	0.117317	0.042292	-0.009081	0.496829	0.549246	-0.534688	0.406938	147.727205	-78.046251	-62.068167						
06908		11.867917	4.594186	-0.590482	-3.483571	-1.284556	2.373844	0.660051	0.098176	2.032873	-0.849365	0.534668	-0.425049	0.118201	0.047164	-0.005809	0.491033	0.545112	-0.538792	0.414057	152.988404	-78.679276	-67.057365						
06909		12.056763	4.162959	-0.988327	-3.280156	-0.939252	2.517106	0.512131	0.034704	2.251373	-0.834473	0.557129	-0.416504	0.120087	0.043008	-0.009795	0.485000	0.540121	-0.543842	0.421047	159.349408	-79.221914	-73.244849						
06910		12.587829	3.915426	-0.193836	-3.368003	-1.808007	2.804768	0.409109	0.039600	2.495204	-0.824463	0.586182	-0.420898	0.125376	0.040724	-0.001881	0.478632	0.534095	-0.549711	0.428336	167.008178	-79.660840	-80.800808						
06911		12.603985	3.901081	0.166545	-3.709533	-2.136182	2.668191	0.368296	0.058966	2.680570	-0.807617	0.615479	-0.425537	0.125502	0.040692	0.001702	0.471986	0.527358	-0.555984	0.435895	175.701970	-79.924720	-89.425043						
06912		13.175931	3.806197	0.410989	-3.992611	-2.443126	3.084535	0.330761	0.110696	2.895871	-0.794922	0.637939	-0.425537	0.131192	0.039958	0.004102	0.464985	0.519686	-0.562702	0.443940	-174.623529	-79.969129	-99.061591						
06913		13.746689	3.814616	-0.209689	-4.379385	-1.876244	3.635404	0.427973	0.229040	3.086818	-0.778076	0.664795	-0.421387	0.136854	0.040266	-0.002169	0.457566	0.511348	-0.569264	0.452873	-164.433436	-79.770471	-109.168712						
06914		14.630747	3.820568	0.039136	-4.898877	-2.190516	4.323752	0.580615	0.431301	3.291767	-0.756836	0.696289	-0.430176	0.145653	0.040606	0.000192	0.449719	0.502154	-0.575412	0.463137	-153.967097	-79.320376	-119.477000						
06915		16.214136	4.683719	0.576934	-6.429090	-2.792189	5.549954	0.844762	0.857660	3.419325	-0.739990	0.723389	-0.438965	0.161333	0.049577	0.005282	0.442028	0.492071	-0.580110	0.475342	-143.483499	-78.711368	-129.667636						
06916		18.266542	5.768215	1.683805	-8.359454	-3.896739	7.059524	1.424689	1.754645	3.438258	-0.716309	0.754883	-0.456787	0.181780	0.060698	0.015666	0.435280	0.480872	-0.581287	0.491324	-132.183252	-78.117750	-140.372952						
06917		22.874548	4.143420	5.541243	-8.166858	-7.965817	11.185259	3.335434	3.129745	3.189896	-0.696777	0.773438	-0.509521	0.228893	0.044192	0.052553	0.428302	0.470910	-0.573817	0.515301	-118.493613	-77.648872	-152.423160						
06918		23.299126	7.840931	5.139925	-12.420150	-7.011024	10.858354	5.273966	3.514675	3.614451	-0.670654	0.798584	-0.564453	0.232420	0.081293	0.049430	0.416316	0.462371	-0.560923	0.546131	-104.017488	-76.427362	-164.178586						
06919		12.558345	18.327992	-1.986417	-20.926532	0.427018	-2.107906	4.909537	2.063364	3.811554	-0.646484	0.814697	-0.597412	0.121872	0.186060	-0.016589	0.400068	0.455949	-0.551825	0.572315	-95.310614	-74.456838	-170.271977						
06920		7.103225	24.469370	-3.168617	-25.661282	0.775530	-9.941666	2.999111	0.935965	3.836465	-0.611328	0.837646	-0.617188	0.066178	0.246436	-0.028316	0.384669	0.448470	-0.550020	0.590239	-91.373468	-72.281068	-172.591875						
06921		17.647248	18.747255	-4.330531	-23.817089	1.692236	0.741073	1.402157	1.076648	4.718270	-0.582764	0.858398	-0.625977	0.171749	0.191864	-0.042903	0.370379	0.434806	-0.554306	0.605399	-88.789222	-69.564992	-174.481343						
06922		23.280965	7.632217	-4.426948	-16.250050	2.878329	8.823869	0.607239	1.739694	5.640038	-0.536865	0.890381	-0.650146	0.230137	0.082976	-0.046034	0.356620	0.414802	-0.561317	0.621035	-86.332432	-66.286379	-176.760952						
