// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A40
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber
06899		6.097787	0.488715	3.321547	0.734974	0.400444	-2.902270	-0.885085	-0.372887	0.022796	-1.113770	0.040039	0.030762	0.060915	0.005041	0.033307	0.063329	-0.551673	-0.103767	-0.825154	15.330831	-67.454139	178.508721						
06900		6.364470	0.495690	2.840480	0.234249	0.255749	-2.834142	-0.889226	-0.434688	0.071186	-1.111572	0.040283	0.039795	0.063581	0.005106	0.028521	0.060958	-0.553864	-0.100025	-0.824326	14.881738	-67.717305	178.443060						
06901		6.644799	0.584025	2.532487	-0.090989	0.081559	-2.678768	-0.606414	-0.619795	0.133352	-1.109375	0.042480	0.046387	0.066365	0.005962	0.025513	0.059542	-0.556731	-0.097329	-0.822820	14.569672	-68.089647	178.404985						
06902		6.674973	0.845640	2.195154	-0.298665	-0.257148	-2.746328	-0.142342	-0.850264	0.155561	-1.104980	0.042725	0.052979	0.066649	0.008524	0.022229	0.059369	-0.560453	-0.096556	-0.820393	14.584028	-68.598760	178.300999						
06903		6.941446	1.181428	2.357745	-0.108563	-0.538554	-2.407551	0.331346	-1.026877	0.152932	-1.107422	0.049316	0.072998	0.069283	0.011828	0.023953	0.060452	-0.564697	-0.097773	-0.817253	14.937579	-69.199497	178.125647						
06904		7.817320	1.483720	3.030234	0.341894	-0.652294	-1.330284	0.433476	-0.994856	0.156895	-1.107422	0.047119	0.077393	0.078009	0.014832	0.030723	0.061834	-0.568812	-0.099390	-0.814095	15.354942	-69.788839	177.944485						
06905		8.921816	1.710358	3.544527	0.562816	-0.724653	-0.104680	0.218834	-0.760601	0.151590	-1.103027	0.049561	0.081787	0.089069	0.017132	0.035803	0.062719	-0.571976	-0.100068	-0.811724	15.564365	-70.241511	177.855173						
06906		9.881074	1.804986	3.838049	0.589481	-0.735381	0.898792	-0.054644	-0.360567	0.167567	-1.100830	0.051758	0.079346	0.098726	0.018143	0.038554	0.063063	-0.573632	-0.099471	-0.810602	15.431525	-70.479123	177.962274						
06907		10.611661	1.802453	4.095072	0.599522	-0.686267	1.667527	-0.235253	0.102171	0.196267	-1.098633	0.051758	0.083984	0.106120	0.018177	0.040875	0.063259	-0.573454	-0.097906	-0.810903	14.942079	-70.461572	178.338692						
06908		11.288734	1.775128	4.414475	0.634464	-0.621256	2.405548	-0.312051	0.448206	0.224784	-1.105469	0.056152	0.076904	0.112966	0.017947	0.043864	0.063501	-0.571914	-0.095845	-0.812217	14.232925	-70.255511	178.901365						
06909		11.887197	1.732130	5.035851	0.928266	-0.489929	3.170491	-0.281541	0.718427	0.230188	-1.099121	0.062988	0.069824	0.119032	0.017529	0.049907	0.063998	-0.569256	-0.093798	-0.814281	13.440754	-69.896800	179.572495						
06910		11.989276	1.744454	5.688387	1.383805	-0.412797	3.493568	-0.196095	1.090336	0.121503	-1.105957	0.064941	0.051758	0.120190	0.017573	0.056212	0.064465	-0.565000	-0.092288	-0.817375	12.760419	-69.314362	-179.821706						
06911		11.465506	1.786394	6.087346	1.775340	-0.414520	3.163354	-0.149861	1.559426	-0.039063	-1.105713	0.060303	0.031738	0.115128	0.017887	0.059964	0.064625	-0.558705	-0.091264	-0.821793	12.224597	-68.446564	-179.339251						
06912		10.453772	2.061106	6.089745	1.998015	-0.718444	2.274578	-0.109280	1.845989	-0.146409	-1.105469	0.058105	0.016357	0.105109	0.020567	0.059918	0.064585	-0.551112	-0.090607	-0.826979	11.814043	-67.401475	-178.963602						
06913		9.458942	2.577967	6.514122	2.665008	-1.157102	1.593752	-0.163532	1.673466	-0.138506	-1.100830	0.053467	-0.005859	0.095148	0.025767	0.064326	0.064342	-0.544229	-0.089754	-0.831636	11.443186	-66.455676	-178.662244						
06914		8.908607	2.968987	7.055060	3.298055	-1.452057	1.366094	-0.363064	0.979451	-0.083571	-1.101074	0.058105	-0.010742	0.089442	0.029780	0.070059	0.063459	-0.540276	-0.088147	-0.834449	11.090356	-65.902580	-178.503901						
06915		9.585828	2.975672	7.017674	2.921381	-1.509848	1.984610	-0.328594	0.213370	0.025354	-1.107666	0.055664	-0.012695	0.095929	0.029884	0.070025	0.062797	-0.539566	-0.086625	-0.835117	10.812637	-65.794628	-178.405756						
06916		10.985758	2.754382	6.555899	1.905130	-1.430314	3.055015	-0.044604	-0.354491	0.173890	-1.101074	0.060303	-0.008545	0.109717	0.027654	0.065747	0.063270	-0.541191	-0.086069	-0.834087	10.648233	-66.020700	-178.253535						
06917		12.229429	2.283237	6.056229	0.944403	-1.099907	3.947663	0.095372	-0.782085	0.253314	-1.098877	0.062500	0.004639	0.122027	0.022958	0.061051	0.064273	-0.544593	-0.086012	-0.831799	10.559916	-66.497155	-178.097242						
06918		12.286901	1.829164	5.601298	0.546382	-0.760018	3.781826	-0.064981	-0.912713	0.240789	-1.096680	0.060547	0.013916	0.122590	0.018458	0.056567	0.064727	-0.548570	-0.085366	-0.829213	10.423271	-67.045341	-177.988911						
06919		11.289483	1.368574	4.751011	0.179947	-0.491410	2.500850	-0.412093	-0.569996	0.119222	-1.098877	0.062744	0.018066	0.112751	0.013851	0.047803	0.063873	-0.551180	-0.083499	-0.827737	10.159551	-67.388156	-177.958853						
06920		10.544519	0.938050	3.577907	-0.628533	-0.326318	1.339291	-0.664204	-0.207454	0.029160	-1.099121	0.067139	0.020264	0.105407	0.009515	0.035857	0.062086	-0.552322	-0.080729	-0.827387	9.786948	-67.516816	-177.967538						
06921		10.216892	0.532161	2.621110	-1.415721	-0.138624	0.652239	-0.662959	-0.325033	0.067240	-1.099121	0.067139	0.024658	0.102124	0.005443	0.026359	0.060428	-0.553961	-0.077885	-0.826686	9.383245	-67.716108	-177.941624						
06922		9.855513	0.102104	2.027754	-1.837941	0.159346	0.079197	-0.563706	-0.782697	0.106881	-1.094727	0.067383	0.038086	0.098474	0.001132	0.020660	0.059027	-0.557462	-0.075481	-0.824654	9.082474	-68.177111	-177.965380						
06923		9.891370	-0.242337	1.299222	-2.472015	0.356983	-0.151106	-0.467000	-1.292919	0.142311	-1.094727	0.065186	0.051758	0.098829	-0.002322	0.013637	0.057849	-0.563036	-0.073523	-0.821120	8.897058	-68.930757	-178.053534						
06924		10.559297	-0.710549	0.597280	-3.279191	0.684398	0.243935	-0.337652	-1.822595	0.253581	-1.092773	0.074219	0.075928	0.105542	-0.006960	0.006947	0.057282	-0.570756	-0.071935	-0.815955	8.743610	-69.994988	-178.096410						
06925		11.721898	-1.226534	0.201087	-3.921005	1.112462	1.247636	-0.299868	-2.054779	0.326561	-1.093018	0.078857	0.097900	0.117210	-0.012070	0.003233	0.057043	-0.579374	-0.070348	-0.810014	8.540322	-71.196236	-178.062934						
06926		13.160542	-1.999492	-0.080146	-4.561034	1.807451	2.561905	-0.332269	-1.545996	0.313505	-1.088379	0.074463	0.107178	0.131637	-0.019789	0.000249	0.056832	-0.585904	-0.068513	-0.805477	8.192868	-72.110621	-177.897417						
06927		13.880195	-2.627961	-0.078399	-4.760394	2.407624	3.268362	-0.321080	-0.308381	0.190077	-1.086426	0.078857	0.106934	0.138828	-0.026149	-0.000528	0.056578	-0.587364	-0.066733	-0.804580	7.739370	-72.309862	-177.614239						
06928		13.046758	-2.845874	0.302650	-4.226094	2.679857	2.571388	-0.354185	1.154661	-0.037580	-1.095459	0.083252	0.088867	0.130477	-0.028479	0.002324	0.055788	-0.582856	-0.065077	-0.808041	7.328446	-71.659889	-177.395686						
06929		11.367972	-2.701879	0.735640	-3.447315	2.615385	1.065880	-0.269869	2.132447	-0.204974	-1.092773	0.072021	0.064697	0.113722	-0.027126	0.006181	0.054891	-0.574280	-0.063968	-0.814308	7.058151	-70.442116	-177.273288						
06930		9.988599	-2.395031	1.269557	-2.665184	2.403027	-0.105074	0.153568	2.284678	-0.153229	-1.097412	0.078369	0.041992	0.100004	-0.024036	0.011535	0.055463	-0.564890	-0.064385	-0.820779	6.940189	-69.138023	-177.053640						
06931		9.581925	-1.935129	2.177424	-1.815124	2.092625	-0.188635	0.876652	1.764082	-0.024212	-1.097656	0.082764	0.025879	0.096003	-0.019456	0.020843	0.058432	-0.557436	-0.067542	-0.825402	7.152325	-68.142320	-176.741975						
06932		10.037547	-1.222293	3.363885	-0.938007	1.597736	0.681499	1.580592	1.007039	0.026468	-1.097656	0.082764	0.016846	0.100544	-0.012472	0.033035	0.063327	-0.552852	-0.073669	-0.827598	7.823199	-67.579217	-176.488221						
06933		10.435193	-0.195171	4.247422	-0.197629	0.801598	1.425168	2.194819	0.455704	0.033147	-1.099854	0.082764	0.014648	0.104449	-0.002399	0.042212	0.069722	-0.550314	-0.082495	-0.827942	8.936493	-67.332863	-176.331925						
06934		10.219420	0.778124	4.658979	0.404874	0.039461	1.438153	2.626797	0.248841	0.022404	-1.095459	0.082764	0.012451	0.102251	0.007181	0.046560	0.077180	-0.548393	-0.093187	-0.827420	10.342383	-67.203663	-176.224351						
06935		9.416388	1.342724	4.650631	0.811771	-0.374164	0.737170	2.665629	0.237141	0.064152	-1.097656	0.082764	0.008057	0.094215	0.012837	0.046568	0.084883	-0.546430	-0.103925	-0.826685	11.716219	-67.086653	-176.057705						
06936		8.502524	1.680797	4.174979	0.817413	-0.691955	-0.252323	2.468069	0.229419	0.024291	-1.099854	0.084717	-0.001221	0.085071	0.016302	0.041855	0.091871	-0.544478	-0.113933	-0.825907	13.023113	-66.971641	-175.941431						
06937		7.711405	1.894769	3.856572	0.895891	-0.868158	-1.073581	2.237332	0.258683	-0.080568	-1.097656	0.082520	-0.005371	0.077172	0.018484	0.038674	0.097795	-0.542369	-0.123252	-0.825277	14.322923	-66.826148	-175.960790						
06938		7.107940	2.134042	3.617838	0.983166	-1.063534	-1.684505	1.949577	0.328267	-0.184100	-1.099854	0.082520	-0.012207	0.071158	0.020922	0.036267	0.102553	-0.539975	-0.131609	-0.824978	15.555786	-66.625157	-176.086770						
06939		6.677055	2.424546	3.611095	1.220065	-1.250717	-2.037847	1.571179	0.429700	-0.239150	-1.104248	0.080322	-0.011963	0.066877	0.023882	0.036156	0.106110	-0.537288	-0.138499	-0.825154	16.597868	-66.360157	-176.241354						
06940		6.220756	2.632351	3.506025	1.355099	-1.411283	-2.458028	1.098391	0.504526	-0.208719	-1.099854	0.082520	-0.019043	0.062323	0.026066	0.035047	0.108582	-0.534525	-0.143301	-0.825807	17.287535	-66.056931	-176.307094						
06941		5.796867	2.619496	3.309207	1.328305	-1.422661	-2.911398	0.680129	0.495754	-0.123357	-1.104004	0.073486	-0.027344	0.058067	0.026047	0.033037	0.110265	-0.532083	-0.146157	-0.826660	17.633921	-65.774323	-176.259549						
06942		5.464570	2.337049	3.042110	1.120220	-1.230719	-3.346765	0.394440	0.383570	-0.029213	-1.106201	0.077881	-0.029785	0.054707	0.023303	0.030362	0.111510	-0.530313	-0.147634	-0.827368	17.739722	-65.568121	-176.127357						
06943		5.149699	1.764734	2.937098	0.953016	-0.721422	-3.743789	0.228909	0.192209	0.021959	-1.104004	0.075684	-0.027588	0.051523	0.017619	0.029342	0.112370	-0.529474	-0.148404	-0.827651	17.767504	-65.476639	-176.013658						
06944		4.841986	1.288204	2.944095	0.919993	-0.264992	-4.080726	0.004984	-0.024725	0.004592	-1.108398	0.075684	-0.034180	0.048416	0.012882	0.029447	0.112415	-0.529641	-0.148410	-0.827537	17.768182	-65.500089	-176.011062						
06945		4.538690	1.292849	2.784615	0.917894	-0.319603	-4.420047	-0.179734	-0.158288	-0.017162	-1.106445	0.082275	-0.023438	0.045366	0.012950	0.027870	0.111771	-0.530451	-0.147789	-0.827216	17.743321	-65.593027	-176.096762						
06946		4.439702	1.113194	2.919140	1.021524	-0.105719	-4.481944	-0.438843	-0.256813	-0.041422	-1.106445	0.077881	-0.018555	0.044362	0.011187	0.029224	0.110282	-0.531790	-0.146208	-0.826838	17.633107	-65.735179	-176.251440						
06947		4.620814	0.694676	3.091525	0.968027	0.330835	-4.304017	-0.711663	-0.315622	-0.065103	-1.113281	0.080078	-0.009766	0.046162	0.007042	0.030963	0.107910	-0.533503	-0.143601	-0.826504	17.422453	-65.905946	-176.467379						
06948		4.916122	0.139819	3.255020	0.825342	0.885052	-4.040480	-0.802478	-0.324168	-0.071897	-1.108643	0.077881	-0.016357	0.049109	0.001511	0.032624	0.105270	-0.535305	-0.140631	-0.826190	17.169046	-66.083301	-176.693279						
06949		5.208996	-0.223213	3.281936	0.642553	1.213160	-3.806872	-0.778755	-0.441912	-0.024479	-1.101807	0.075928	-0.000488	0.052017	-0.002110	0.032943	0.102794	-0.537586	-0.137699	-0.825514	16.917910	-66.330811	-176.906340						
06950		5.581509	-0.594294	3.314869	0.449251	1.554123	-3.497831	-0.665956	-0.703594	0.043331	-1.108643	0.080322	0.003662	0.055699	-0.005820	0.033364	0.100728	-0.540932	-0.135176	-0.823999	16.744210	-66.734782	-177.132893						
06951		6.236891	-0.767495	3.366679	0.247912	1.718324	-2.898369	-0.468647	-0.999320	0.100354	-1.108887	0.082520	0.017090	0.062203	-0.007564	0.033996	0.099218	-0.545412	-0.133462	-0.821505	16.730772	-67.309188	-177.409837						
06952		7.007597	-0.863197	3.597512	0.207972	1.877141	-2.116845	-0.245309	-1.141296	0.112038	-1.104248	0.082764	0.032715	0.069874	-0.008548	0.036385	0.098285	-0.550369	-0.132689	-0.818430	16.891608	-67.965797	-177.735634						
06953		7.886462	-0.874659	3.961155	0.286809	2.007588	-1.179111	-0.119157	-1.058963	0.084533	-1.099609	0.076172	0.041992	0.078657	-0.008690	0.040034	0.097621	-0.554876	-0.132474	-0.815496	17.148623	-68.569687	-178.085691						
06954		8.809616	-0.785441	4.148021	0.228478	1.989677	-0.251265	-0.047246	-0.813913	0.053467	-1.108643	0.078125	0.046387	0.087928	-0.007821	0.041840	0.097192	-0.558337	-0.132511	-0.813176	17.398119	-69.036708	-178.382624						
06955		9.429257	-0.579504	4.205976	0.188078	1.822867	0.364664	0.018433	-0.536376	0.037744	-1.101807	0.076172	0.053223	0.094180	-0.005781	0.042312	0.097063	-0.560598	-0.132727	-0.811599	17.593443	-69.345871	-178.580166						
06956		9.878488	-0.299311	4.281535	0.229754	1.589483	0.837491	0.040524	-0.361324	0.050779	-1.099609	0.076172	0.055420	0.098708	-0.002977	0.042993	0.097160	-0.562149	-0.132909	-0.810484	17.706724	-69.562200	-178.676786						
06957		10.488411	-0.017232	4.381829	0.230867	1.355073	1.470834	-0.000058	-0.304833	0.092222	-1.104004	0.071777	0.058105	0.104817	-0.000124	0.043978	0.097352	-0.563511	-0.132784	-0.809535	17.710131	-69.754216	-178.680342						
06958		11.393295	0.138955	4.717196	0.303396	1.305364	2.446279	-0.099162	-0.295348	0.141983	-1.099854	0.080811	0.066406	0.113862	0.001494	0.047339	0.097457	-0.564914	-0.132115	-0.808653	17.581352	-69.949303	-178.604440						
06959		12.442582	0.184496	5.170249	0.403173	1.384424	3.585222	-0.214420	-0.242942	0.183132	-1.104004	0.071777	0.062500	0.124361	0.002014	0.051851	0.097452	-0.566186	-0.130836	-0.807972	17.293451	-70.123100	-178.428728						
06960		13.168297	0.016878	5.545489	0.469425	1.626775	4.374979	-0.348770	-0.018128	0.167167	-1.104248	0.080566	0.064209	0.131678	0.000376	0.055466	0.097132	-0.566605	-0.128951	-0.808020	16.848048	-70.170572	-178.168535						
06961		13.335277	-0.387134	5.814887	0.520355	2.045771	4.586481	-0.559955	0.392104	0.077688	-1.099609	0.073975	0.055664	0.133468	-0.003657	0.057898	0.096134	-0.565406	-0.126263	-0.809403	16.228377	-69.977406	-177.850554						
06962		13.217808	-0.950972	5.800238	0.314958	2.514377	4.429332	-0.728850	0.808076	-0.009387	-1.106445	0.078369	0.048584	0.132411	-0.009306	0.057502	0.094548	-0.562527	-0.122939	-0.812102	15.480603	-69.538345	-177.499567						
06963		13.051301	-1.303206	5.780921	0.140528	2.774775	4.249059	-0.652399	1.123250	-0.056770	-1.099609	0.078369	0.039795	0.130831	-0.012882	0.057117	0.093193	-0.558294	-0.119903	-0.815626	14.742125	-68.918024	-177.109431						
06964		12.775241	-1.338624	5.934856	0.207164	2.791171	4.057583	-0.292450	1.424699	-0.052731	-1.104004	0.073730	0.015381	0.128167	-0.013334	0.058456	0.093023	-0.552631	-0.118175	-0.819744	14.128106	-68.127898	-176.630578						
06965		12.802138	-0.983721	6.378973	0.483943	2.524102	4.292053	0.206750	1.651247	-0.001246	-1.104004	0.073730	0.001953	0.128542	-0.009903	0.062720	0.094585	-0.545813	-0.118241	-0.824112	13.689259	-67.218798	-176.028009						
