// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A8D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
01748		7.630363	1.683827	6.066070	0.000000	-0.000000	0.079468	0.247641	-0.198279	0.686068	-0.522217	-0.114990	-0.756348	0.076185	0.017025	0.060757	0.890125	0.036907	-0.437652	-0.121556	15.653192	-50.368097	-22.948782
01749		7.675204	1.309946	5.894867	0.000000	0.000000	-0.046727	0.175360	-0.228339	0.608194	-0.520264	-0.112793	-0.751953	0.076644	0.013281	0.059048	0.893629	0.045815	-0.442252	-0.061174	12.675900	-51.703317	-13.993342
01750		7.957828	1.137254	6.008746	0.125629	-0.438239	0.213152	0.102412	-0.150184	0.489290	-0.526855	-0.110840	-0.749756	0.079505	0.011536	0.060153	0.892050	0.039354	-0.440311	-0.093937	14.093383	-51.092891	-18.785216
01751		8.559332	0.954968	6.272588	0.237416	-0.703947	0.815931	0.036879	-0.108564	0.324648	-0.527100	-0.106445	-0.745361	0.085544	0.009677	0.062774	0.891955	0.038753	-0.440876	-0.092429	13.909154	-51.198249	-18.521510
01752		9.271173	0.739431	5.930747	0.882583	-1.030175	1.134226	0.014417	-0.088757	0.158262	-0.529297	-0.108643	-0.749756	0.092680	0.007463	0.059349	0.891612	0.038044	-0.441817	-0.091533	13.773561	-51.342457	-18.367778
01753		9.548604	0.485141	5.150121	1.633045	-1.337842	0.839931	0.049210	0.056692	0.010914	-0.526855	-0.113037	-0.747559	0.095500	0.004844	0.051475	0.891733	0.038266	-0.441588	-0.091365	13.784502	-51.312400	-18.345677
01754		9.252963	0.448512	4.554756	1.898055	-1.283848	0.252763	0.103738	0.352303	-0.084952	-0.524414	-0.117188	-0.756348	0.092612	0.004422	0.045387	0.891503	0.037241	-0.442382	-0.090188	13.567136	-51.448817	-18.113304
01755		8.713971	0.525421	4.612675	1.588717	-1.123843	-0.132877	0.164414	0.635118	-0.133156	-0.521973	-0.119385	-0.754150	0.087289	0.005158	0.045854	0.892812	0.038555	-0.439597	-0.090299	13.647054	-51.077186	-18.094991
01756		8.277614	0.685129	4.955375	1.004021	-0.798427	-0.226344	0.236805	0.777588	-0.147696	-0.506592	-0.116699	-0.762939	0.082973	0.006732	0.049239	0.891476	0.036040	-0.443126	-0.087244	13.177668	-51.608325	-17.571982
01757		7.968300	0.744880	5.334012	0.595854	-0.709761	-0.239754	0.311243	0.761081	-0.119047	-0.503906	-0.123291	-0.767334	0.079890	0.007319	0.053048	0.893046	0.038023	-0.439844	-0.086947	13.314023	-51.168231	-17.518264
01758		7.786691	0.672946	5.396018	0.333097	-0.646172	-0.343073	0.382167	0.618981	-0.067479	-0.503662	-0.127686	-0.767334	0.078036	0.006600	0.053732	0.890925	0.034789	-0.445229	-0.082542	12.701969	-51.960719	-16.795633
01759		7.902126	0.883723	5.353759	0.505484	-0.488983	-0.252745	0.387256	0.463168	-0.013882	-0.494629	-0.131836	-0.769531	0.079146	0.008728	0.053371	0.891879	0.036736	-0.443321	-0.081661	12.859036	-51.700158	-16.713190
01760		7.952508	0.503562	5.223731	0.493122	-0.765450	-0.328271	0.367846	0.318148	0.035455	-0.492432	-0.131836	-0.773926	0.079607	0.004954	0.052120	0.889602	0.033076	-0.448988	-0.076961	12.144214	-52.537455	-15.899755
01761		8.210152	0.268514	5.085843	0.751680	-1.057799	-0.238739	0.329137	0.206166	0.062261	-0.491943	-0.140625	-0.773926	0.082153	0.002627	0.050778	0.890033	0.034479	-0.448207	-0.075911	12.254871	-52.429536	-15.801512
01762		8.620302	0.192392	4.916698	1.005230	-1.065162	0.004413	0.272290	0.133225	0.079475	-0.487549	-0.135986	-0.773926	0.086235	0.001891	0.049112	0.887580	0.029600	-0.454191	-0.070961	11.297713	-53.327404	-14.828928
01763		8.833075	0.202701	4.784898	1.247035	-1.094598	0.097222	0.212542	0.111111	0.085479	-0.485352	-0.138184	-0.771729	0.088356	0.002014	0.047802	0.887831	0.030388	-0.453786	-0.070082	11.338297	-53.274592	-14.727663
01764		8.918334	0.363692	4.672196	1.267334	-0.795874	0.150184	0.163927	0.134594	0.084219	-0.489746	-0.140625	-0.776367	0.089213	0.003636	0.046665	0.884984	0.024771	-0.460372	-0.065170	10.239535	-54.254072	-13.679507
01765		8.840260	0.706096	4.550476	1.370011	-0.448405	0.050252	0.113270	0.199226	0.078287	-0.489746	-0.138184	-0.776367	0.088445	0.007070	0.045421	0.885453	0.025157	-0.459537	-0.064538	10.215121	-54.149703	-13.569391
01766		8.737625	0.937361	4.490098	1.244186	-0.076789	-0.023318	0.046759	0.285128	0.061666	-0.496094	-0.145020	-0.780762	0.087437	0.009390	0.044779	0.882487	0.020185	-0.465973	-0.060653	9.264521	-55.082996	-12.702436
01767		8.640202	1.063737	4.387994	1.316945	0.060690	-0.153444	-0.032036	0.373564	0.047801	-0.480469	-0.144531	-0.782959	0.086481	0.010665	0.043717	0.883373	0.020045	-0.464319	-0.060479	9.158689	-54.876105	-12.595620
01768		8.323540	1.250443	4.414303	1.018646	0.369818	-0.370419	-0.110991	0.440980	0.032646	-0.476318	-0.137939	-0.782959	0.083330	0.012542	0.043952	0.880746	0.016942	-0.469773	-0.057558	8.552193	-55.644358	-11.997468
