// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40AC7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
23438		19.777318	-1.496127	-8.259178	10.491581	11.496275	4.997107	2.085136	0.806152	-3.518929	-0.333496	-0.825928	0.116455	0.197144	-0.017566	-0.083561	-0.597955	-0.658201	0.230295	-0.395203	87.400623	-52.717408	16.246225
23439		18.815665	3.209114	-8.689371	6.521769	11.073288	6.760331	2.975701	0.383298	-3.707444	-0.311279	-0.829834	0.149902	0.188558	0.029890	-0.086799	-0.595740	-0.670442	0.211010	-0.388685	88.920114	-50.587527	16.485932
23440		16.421278	5.198952	-8.498786	4.030662	10.108995	6.013351	2.519286	0.269746	-3.652124	-0.284668	-0.829590	0.163330	0.165024	0.050048	-0.084571	-0.594501	-0.681122	0.193059	-0.381272	90.207410	-48.498134	16.693004
23441		15.088531	1.742852	-6.398086	6.611926	8.679902	2.539077	2.099333	0.521985	-3.432100	-0.261963	-0.840088	0.185791	0.150995	0.015511	-0.064205	-0.594257	-0.689560	0.175785	-0.374786	91.065118	-46.535248	17.164286
23442		12.421361	2.269289	-5.569153	4.986144	7.362070	0.741263	1.689794	0.851206	-3.149642	-0.239746	-0.837646	0.194580	0.124317	0.021208	-0.056037	-0.594950	-0.695655	0.159255	-0.369779	91.500344	-44.746720	17.911382
23443		7.944179	4.283707	-5.861309	0.697256	6.288063	-1.107142	0.950677	0.996834	-2.755482	-0.221680	-0.846191	0.199219	0.079732	0.042019	-0.058809	-0.597443	-0.698772	0.144936	-0.365751	91.459875	-43.183255	18.757677
23444		4.471829	3.181526	-9.514037	-2.156434	9.227900	-4.260042	0.793631	0.627870	-2.055280	-0.210449	-0.850586	0.199463	0.044746	0.031733	-0.095155	-0.598793	-0.701470	0.134467	-0.362361	91.564476	-42.021285	19.281382
23445		9.661826	-0.511367	-5.119359	5.314729	7.323171	-3.652779	0.803356	0.478258	-1.049403	-0.208252	-0.852539	0.206055	0.096468	-0.005414	-0.051446	-0.598165	-0.703717	0.127902	-0.361416	91.769586	-41.428298	19.668350
23446		6.469020	-2.860934	-8.222778	3.373293	10.043606	-7.490204	0.579480	0.229816	-0.519353	-0.204102	-0.843750	0.210449	0.064521	-0.028538	-0.082385	-0.597158	-0.705394	0.124400	-0.361035	91.987054	-41.141165	19.847491
23447		3.890382	-2.389292	-3.834639	2.814773	5.185806	-8.956718	0.137997	0.269948	-0.186859	-0.212891	-0.848389	0.203857	0.038830	-0.023903	-0.038415	-0.597158	-0.705454	0.122692	-0.361502	91.932745	-41.039494	20.054023
23448		2.621154	-4.751813	-1.554817	4.169437	3.342825	-11.631738	-0.338949	0.335675	0.217205	-0.217285	-0.850586	0.195068	0.026237	-0.047516	-0.015512	-0.598112	-0.703737	0.123137	-0.363118	91.584759	-41.176280	20.293781
23449		1.745811	-2.508564	-0.797055	2.471222	1.830930	-10.531567	-0.770537	0.426064	0.411441	-0.226074	-0.853027	0.190674	0.017493	-0.025080	-0.007911	-0.600314	-0.700418	0.124715	-0.365356	90.938080	-41.417405	20.608283
23450		1.851734	0.572216	-0.785030	0.657286	1.083344	-8.149276	-0.991195	0.487659	0.731054	-0.237305	-0.842285	0.168213	0.018477	0.005751	-0.007924	-0.602696	-0.696112	0.127697	-0.368617	90.135207	-41.845370	20.965334
23451		0.944452	1.648505	-1.711656	-0.994992	1.458523	-7.962842	-1.002583	0.417698	1.235792	-0.250732	-0.846924	0.157227	0.009307	0.016457	-0.017219	-0.604137	-0.691529	0.132590	-0.373130	89.345561	-42.552473	21.289230
23452		0.030410	1.230339	-2.523178	-1.661383	2.082628	-8.927593	-1.103361	0.326597	1.837819	-0.268555	-0.842773	0.143799	0.000151	0.012166	-0.025299	-0.604672	-0.686353	0.140092	-0.379033	88.529006	-43.607953	21.559603
23453		-0.289307	-0.107090	-2.772853	-1.086556	2.546724	-10.155268	-1.073086	0.179093	2.382470	-0.297852	-0.832031	0.136719	-0.002904	-0.001254	-0.027720	-0.603895	-0.681063	0.149755	-0.386054	87.776044	-44.969195	21.760753
23454		0.028748	-0.946350	-2.783661	-0.288420	2.835261	-10.535989	-0.878041	-0.036159	2.784177	-0.318115	-0.823730	0.116455	0.000425	-0.009580	-0.027795	-0.601388	-0.676348	0.161108	-0.393612	87.232339	-46.569921	21.817358
23455		1.023753	-0.469202	-2.696330	0.067982	2.900995	-9.469217	-0.718458	-0.235153	3.050479	-0.347168	-0.819580	0.116211	0.010340	-0.004632	-0.026934	-0.597532	-0.672131	0.173530	-0.401351	86.874532	-48.322587	21.747450
23456		1.522844	0.041223	-2.428628	0.096160	2.649407	-8.721688	-0.682578	-0.387229	3.277529	-0.381104	-0.806641	0.104736	0.015267	0.000579	-0.024259	-0.592808	-0.667944	0.187136	-0.409157	86.625857	-50.215723	21.556470
23457		2.096417	-0.799233	-2.311817	1.076322	2.849486	-8.764010	-0.574958	-0.533978	3.543581	-0.406250	-0.787109	0.113037	0.021164	-0.007685	-0.023039	-0.586864	-0.663928	0.201703	-0.417260	86.531442	-52.260969	21.258118
23458		2.876475	-1.674691	-2.483097	2.110245	3.360688	-8.589710	-0.322746	-0.707979	3.773200	-0.435791	-0.767578	0.099121	0.029162	-0.016239	-0.024702	-0.579216	-0.660544	0.217031	-0.425544	86.730681	-54.448827	20.776586
23459		3.968654	-1.398774	-2.439383	2.454678	3.435877	-7.399390	-0.061656	-0.904023	3.993459	-0.465088	-0.752441	0.103271	0.040065	-0.013198	-0.024209	-0.569802	-0.657838	0.232928	-0.433957	87.282601	-56.761138	20.067923
23460		5.185395	-0.569915	-2.237787	2.374993	3.192950	-5.765369	0.217298	-1.123356	4.147503	-0.494873	-0.730469	0.111328	0.052082	-0.004597	-0.022091	-0.558644	-0.655908	0.249339	-0.442189	88.297366	-59.165802	19.011154
23461		6.166490	0.840366	-1.840665	1.641267	2.495990	-4.051668	0.471435	-1.346373	4.267224	-0.529053	-0.702148	0.121582	0.061588	0.009761	-0.017970	-0.545825	-0.654737	0.265991	-0.450159	89.863052	-61.623166	17.524180
23462		6.964217	2.288801	-1.431072	0.673420	1.654777	-2.561132	0.689767	-1.529405	4.391604	-0.559082	-0.673584	0.131836	0.069223	0.024459	-0.013698	-0.531493	-0.654032	0.283010	-0.457889	92.062723	-64.129749	15.490331
23463		7.983581	2.989878	-1.384545	0.220112	1.298053	-1.277716	0.851493	-1.611171	4.550800	-0.588867	-0.645020	0.146484	0.079235	0.031763	-0.013073	-0.515831	-0.653368	0.300141	-0.465772	94.918995	-66.676699	12.889000
23464		9.103857	2.968570	-1.302983	0.342278	1.043030	-0.212395	0.842037	-1.572575	4.716383	-0.610107	-0.610107	0.152100	0.090402	0.031875	-0.012186	-0.499568	-0.651903	0.317639	-0.473877	98.402635	-69.261883	9.645290
23465		9.706595	3.051644	-1.111836	0.139083	0.561923	0.405372	0.783519	-1.597418	4.804075	-0.637939	-0.577148	0.166748	0.096379	0.032878	-0.010221	-0.482911	-0.649822	0.335328	-0.481750	102.842891	-71.799831	5.415760
