// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40ACF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
44597		9.647369	-0.053681	-2.121034	0.020558	0.027792	0.065177	0.008643	-0.002909	-0.024668	-0.757813	0.489990	-0.420166	0.096474	-0.000548	-0.021209	0.584387	-0.287407	-0.724560	-0.225615	-177.612797	-77.563007	134.808935
44598		9.671468	-0.075532	-2.056424	-0.045346	0.058449	0.075003	0.005645	-0.001377	-0.025327	-0.757813	0.492188	-0.422363	0.096715	-0.000767	-0.020564	0.584347	-0.287401	-0.724589	-0.225631	-177.631213	-77.558491	134.826227
44599		9.680574	-0.024074	-2.078616	0.003091	0.083003	0.088214	0.007173	-0.004486	-0.025002	-0.755371	0.483398	-0.424316	0.096806	-0.000252	-0.020784	0.584299	-0.287397	-0.724627	-0.225639	-177.648480	-77.552498	134.842915
44600		9.681689	-0.070584	-2.079248	-0.029499	0.048965	0.089842	0.005683	-0.004501	-0.025333	-0.757813	0.489990	-0.417969	0.096817	-0.000718	-0.020790	0.584248	-0.287395	-0.724666	-0.225650	-177.667193	-77.546191	134.860535
44601		9.681629	-0.068249	-2.079604	-0.028832	0.050596	0.089835	0.005664	-0.002938	-0.025330	-0.760498	0.498779	-0.422363	0.096817	-0.000694	-0.020795	0.584205	-0.287385	-0.724701	-0.225662	-177.686535	-77.541125	134.879600
44602		9.669759	-0.066151	-2.112568	-0.003233	0.028855	0.085328	0.005392	-0.007637	-0.023850	-0.760010	0.489990	-0.426758	0.096698	-0.000672	-0.021122	0.584143	-0.287392	-0.724747	-0.225665	-177.701865	-77.532986	134.893584
44603		9.691774	-0.063470	-2.102737	-0.012961	0.041114	0.104679	0.006822	-0.002931	-0.023510	-0.762451	0.494385	-0.426758	0.096918	-0.000645	-0.021026	0.584103	-0.287393	-0.724777	-0.225671	-177.714757	-77.527955	134.905701
44604		9.648952	-0.062522	-2.069118	-0.030926	0.057839	0.055602	0.008642	-0.002902	-0.024669	-0.760010	0.487549	-0.422363	0.096490	-0.000636	-0.020690	0.584063	-0.287383	-0.724813	-0.225672	-177.729824	-77.522545	134.921324
44605		9.681349	-0.059576	-2.081174	-0.026150	0.057264	0.089807	0.007981	-0.002924	-0.021689	-0.762207	0.489746	-0.422363	0.096814	-0.000605	-0.020810	0.584028	-0.287378	-0.724845	-0.225664	-177.738016	-77.517463	134.930361
44606		9.671625	-0.082092	-2.059347	-0.056653	0.053929	0.075784	0.007794	-0.001333	-0.027976	-0.757813	0.487793	-0.422363	0.096716	-0.000834	-0.020593	0.583988	-0.287357	-0.724881	-0.225680	-177.761938	-77.513024	134.954556
44607		9.703385	-0.054482	-2.071317	-0.035252	0.071219	0.109141	0.008332	-0.004474	-0.023182	-0.757813	0.492188	-0.415771	0.097034	-0.000555	-0.020711	0.583946	-0.287348	-0.724920	-0.225673	-177.774208	-77.507028	134.967954
44608		9.702672	-0.027830	-2.071585	-0.017965	0.090765	0.108277	0.007483	-0.002905	-0.026489	-0.753418	0.492188	-0.424561	0.097027	-0.000290	-0.020714	0.583902	-0.287335	-0.724958	-0.225684	-177.794591	-77.501653	134.988343
44609		9.659001	-0.051043	-2.092846	-0.013066	0.053299	0.070424	0.005395	-0.007634	-0.023849	-0.757813	0.492188	-0.426758	0.096591	-0.000521	-0.020925	0.583840	-0.287349	-0.724999	-0.225693	-177.809402	-77.493881	135.000775
44610		9.680965	-0.048262	-2.083253	-0.022832	0.065632	0.089763	0.000596	-0.007698	-0.023352	-0.760010	0.492188	-0.428955	0.096810	-0.000494	-0.020829	0.583772	-0.287373	-0.725038	-0.225713	-177.826067	-77.485690	135.013315
44611		9.659370	-0.070819	-2.094411	-0.028330	0.038764	0.071274	-0.000232	-0.007693	-0.026662	-0.764404	0.485352	-0.424561	0.096594	-0.000721	-0.020940	0.583706	-0.287378	-0.725081	-0.225740	-177.851355	-77.478224	135.035449
44612		9.681308	-0.067701	-2.084979	-0.038093	0.051107	0.090614	-0.002010	-0.010847	-0.025508	-0.753418	0.492188	-0.426758	0.096814	-0.000690	-0.020845	0.583620	-0.287405	-0.725130	-0.225770	-177.875327	-77.468275	135.053945
44613		9.670794	-0.065653	-2.063831	-0.051901	0.065540	0.075740	-0.000872	-0.009277	-0.023685	-0.762207	0.489746	-0.415771	0.096709	-0.000668	-0.020634	0.583550	-0.287421	-0.725175	-0.225787	-177.894077	-77.459754	135.069474
44614		9.668454	-0.038652	-2.119212	0.004826	0.048772	0.085250	0.003098	-0.009204	-0.027493	-0.760010	0.489746	-0.422363	0.096685	-0.000399	-0.021188	0.583475	-0.287424	-0.725228	-0.225807	-177.920015	-77.450784	135.092985
44615		9.657937	-0.036559	-2.098050	-0.009032	0.063227	0.070370	0.005769	-0.010740	-0.025345	-0.759766	0.483154	-0.420166	0.096580	-0.000377	-0.020975	0.583402	-0.287428	-0.725284	-0.225811	-177.939741	-77.441123	135.111612
44616		9.690882	-0.057706	-2.110823	-0.020922	0.044939	0.105460	0.003905	-0.007644	-0.024181	-0.753174	0.487793	-0.428955	0.096910	-0.000588	-0.021105	0.583338	-0.287439	-0.725328	-0.225821	-177.956499	-77.432975	135.126193
44617		9.679784	-0.031443	-2.089051	-0.018073	0.077186	0.089689	0.005304	-0.001373	-0.023840	-0.757813	0.492188	-0.424561	0.096798	-0.000325	-0.020890	0.583307	-0.287423	-0.725358	-0.225825	-177.971487	-77.429028	135.142092
44618		9.668683	-0.053856	-2.121632	-0.009175	0.037556	0.086108	0.003792	0.000171	-0.024168	-0.758057	0.494385	-0.420166	0.096687	-0.000550	-0.021216	0.583271	-0.287425	-0.725379	-0.225846	-177.987538	-77.425353	135.155882
44619		9.669448	-0.076003	-2.121541	-0.025113	0.021376	0.087002	0.003747	0.003297	-0.024163	-0.757813	0.492188	-0.424561	0.096694	-0.000771	-0.021217	0.583249	-0.287427	-0.725388	-0.225875	-178.002707	-77.423960	135.168350
44620		9.679849	-0.024757	-2.088843	-0.016045	0.082212	0.089652	0.006795	-0.001351	-0.023510	-0.757813	0.492188	-0.420166	0.096799	-0.000258	-0.020888	0.583212	-0.287424	-0.725416	-0.225882	-178.015468	-77.419399	135.180533
44621		9.691660	-0.070915	-2.110945	-0.034136	0.035401	0.106333	0.007362	0.004925	-0.026480	-0.753418	0.492188	-0.420166	0.096916	-0.000721	-0.021112	0.583199	-0.287403	-0.725428	-0.225905	-178.034511	-77.418993	135.199412
