// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A8D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
29707		9.522702	0.332546	2.567260	-0.001534	0.080518	0.055280	0.006778	0.023417	-0.010075	-1.031006	0.021240	0.154785	0.095230	0.003320	0.025662	0.619751	-0.364236	-0.491004	-0.492093	7.170894	-75.256952	-82.431284
29708		9.559307	0.299862	2.493146	-0.013455	-0.007278	0.070926	0.008540	0.021355	-0.011606	-1.042725	0.027588	0.150391	0.095596	0.002992	0.024921	0.619775	-0.364191	-0.490991	-0.492110	7.178042	-75.251194	-82.436107
29709		9.603831	0.325284	2.514202	0.007297	0.006608	0.120111	0.008972	0.020305	-0.010128	-1.037598	0.018799	0.159424	0.096041	0.003247	0.025132	0.619791	-0.364163	-0.490971	-0.492131	7.181040	-75.246317	-82.438763
29710		9.612603	0.351212	2.493941	0.037776	-0.008885	0.124300	0.004879	0.019267	-0.009571	-1.035400	0.016602	0.154785	0.096129	0.003507	0.024930	0.619801	-0.364147	-0.490944	-0.492156	7.181286	-75.241846	-82.440406
29711		9.612135	0.352176	2.495610	0.038416	-0.007509	0.124299	0.000284	0.015637	-0.009139	-1.033447	0.023438	0.154785	0.096123	0.003517	0.024949	0.619793	-0.364159	-0.490916	-0.492186	7.178439	-75.239694	-82.442164
29712		9.589403	0.364219	2.473033	0.055040	-0.019924	0.096994	0.004238	0.009392	-0.006991	-1.037842	0.023193	0.157227	0.095895	0.003638	0.024726	0.619787	-0.364171	-0.490919	-0.492181	7.176390	-75.241079	-82.440640
29713		9.557568	0.351347	2.471841	0.041866	-0.015481	0.065499	0.001345	0.000057	-0.006731	-1.033447	0.023438	0.152588	0.095576	0.003510	0.024718	0.619748	-0.364224	-0.490937	-0.492172	7.173187	-75.247956	-82.441402
29714		9.552278	0.312895	2.533696	-0.010902	0.035139	0.074789	-0.000422	0.002120	-0.005204	-1.037598	0.018799	0.154785	0.095523	0.003127	0.025336	0.619728	-0.364268	-0.490951	-0.492152	7.165584	-75.253649	-82.435576
29715		9.574510	0.302210	2.557999	-0.026299	0.050279	0.102086	-0.002557	0.008875	-0.006512	-1.040039	0.018799	0.152588	0.095746	0.003019	0.025576	0.619704	-0.364312	-0.490932	-0.492168	7.157272	-75.255529	-82.433367
29716		9.574123	0.302866	2.559372	-0.025722	0.051576	0.102080	0.001718	0.019771	-0.007411	-1.037598	0.018799	0.157227	0.095744	0.003025	0.025584	0.619707	-0.364316	-0.490886	-0.492207	7.152136	-75.250740	-82.433179
