// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A8D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
39277		11.594880	-0.449561	1.286115	1.281476	0.583931	1.776481	0.439744	-0.859258	-0.197278	-0.950439	-0.331299	-0.636963	0.289476	-0.012141	0.035198	0.746871	0.169689	-0.601997	0.225810	-4.833440	-77.385627	37.516566
39278		12.878065	0.485274	-0.268848	2.070087	2.201617	2.717824	0.403599	-0.829979	0.075530	-0.963379	-0.340820	-0.610596	0.321986	0.012458	-0.003318	0.739424	0.175131	-0.608849	0.227780	-5.321682	-78.573034	38.597698
39279		12.826121	0.333918	-1.086199	2.649158	2.474462	2.542830	0.296008	-0.130126	0.271068	-0.969727	-0.345459	-0.599365	0.320666	0.009534	-0.026600	0.736921	0.176085	-0.609919	0.232252	-6.991305	-78.729631	40.723950
39280		12.464863	-1.375686	-1.108691	3.460843	1.074628	2.243883	-0.046966	-0.225451	0.342369	-0.979248	-0.336914	-0.597168	0.311841	-0.033074	-0.026819	0.734215	0.173608	-0.613006	0.234547	-9.836574	-78.990275	43.546089
39281		11.835136	-2.100774	-2.177026	4.451316	0.975540	1.520870	0.050740	-0.924354	0.393673	-0.991455	-0.315430	-0.563965	0.296735	-0.051027	-0.051033	0.725719	0.173668	-0.622276	0.236523	-14.359294	-80.180122	48.208908
39282		10.718035	-3.575303	-2.366009	5.193935	-0.215918	0.494129	0.497504	0.417550	0.296375	-0.983887	-0.328369	-0.579590	0.267963	-0.088014	-0.061099	0.726889	0.174548	-0.617771	0.243975	-15.178461	-79.505729	49.755741
39283		10.978868	-1.721472	10.456175	-5.300105	-5.185228	3.504969	1.138798	6.276604	-0.020713	-0.860107	-0.350342	-0.718750	0.293769	-0.046615	0.238198	0.770490	0.165282	-0.555471	0.265478	-6.987570	-70.687292	42.981999
39284		13.557600	15.272216	18.634055	-20.686811	4.677812	7.911978	0.733611	-2.226248	1.312994	-0.955322	-0.320557	-0.621582	0.319463	0.382806	0.478431	0.748622	0.170477	-0.577006	0.278508	-13.479058	-73.511569	50.901068
39285		11.849122	4.192648	-2.406922	1.416516	7.598204	0.384715	-1.616043	1.097684	1.995785	-0.912109	-0.247559	-0.709961	0.292630	0.110848	-0.066404	0.752499	0.136967	-0.576382	0.287695	-22.836274	-71.131613	58.280195
39286		-0.206465	-3.012954	14.901129	-10.072161	-10.066363	-4.504958	-1.461818	3.849380	0.820007	-0.880859	-0.201660	-0.763184	0.013524	-0.068428	0.373470	0.778659	0.103225	-0.546181	0.291068	-22.364402	-65.598001	55.512053
39287		8.924509	-4.921013	7.170342	-1.705493	-4.945658	1.478142	-0.894324	-7.622892	0.215348	-1.016357	-0.176025	-0.579590	0.204975	-0.120290	0.200743	0.723399	0.120211	-0.621381	0.275914	-40.353665	-74.872827	73.179929
39288		15.331647	-5.678066	-7.828038	10.025076	2.793642	5.015754	0.188257	-5.115484	-0.289374	-1.082520	-0.187744	-0.468994	0.394243	-0.142943	-0.171049	0.682840	0.141464	-0.665347	0.266516	-65.200112	-79.754949	98.873204
39289		13.765061	-0.858502	-7.582054	6.850366	6.090307	2.976625	0.409646	2.970674	-0.286664	-1.030518	-0.205322	-0.577393	0.336695	-0.021664	-0.202259	0.707203	0.137269	-0.637767	0.272535	-45.881482	-77.656008	79.772781
39290		6.592161	0.567030	4.557805	-3.189440	-0.176820	-2.456977	0.766884	8.521803	-0.149366	-0.877930	-0.215088	-0.765381	0.175686	0.012877	0.095721	0.770081	0.115388	-0.556197	0.290354	-22.274428	-67.464172	56.294834
39291		2.319918	0.837416	7.709169	-6.119818	-2.490732	-5.137731	-0.007112	-1.008140	0.020371	-0.920654	-0.212158	-0.716797	0.055558	0.020967	0.193438	0.762864	0.118755	-0.566035	0.289033	-23.804086	-68.790524	57.922524
39292		7.837329	1.503072	-0.188847	0.521943	3.536057	-2.677953	-0.219348	-3.490956	0.002559	-0.981201	-0.207764	-0.643799	0.195892	0.037586	0.003726	0.737676	0.129068	-0.599683	0.282056	-30.861924	-73.246265	65.038306
39293		7.045643	1.023373	-1.840475	1.837663	3.665756	-3.708700	-0.419936	0.841375	-0.054144	-0.954590	-0.202393	-0.683594	0.175660	0.025217	-0.047994	0.744719	0.122554	-0.593394	0.279747	-29.356322	-72.249157	62.822944
39294		3.829572	0.163973	3.101767	-1.969562	-0.319155	-5.304597	-0.594129	2.722352	-0.258024	-0.903809	-0.193848	-0.738770	0.098316	0.004344	0.074196	0.766183	0.109276	-0.569497	0.276938	-24.318130	-68.939905	56.572717
39295		3.422946	0.104681	4.152386	-2.799240	-0.910842	-5.306775	-0.664894	-0.880329	-0.451721	-0.926270	-0.190186	-0.714600	0.084441	0.003006	0.104719	0.762223	0.109089	-0.579667	0.266649	-25.154308	-70.364324	56.439550
39296		7.892282	0.111357	-0.337178	1.449270	2.267335	-2.387218	-0.909469	-3.265523	-0.525626	-0.984619	-0.185791	-0.636963	0.197445	0.001452	-0.000392	0.740777	0.114943	-0.612664	0.250361	-31.483160	-74.850906	61.692380
39297		11.804705	-0.070372	-2.551766	3.396544	3.651366	1.184980	-0.754292	-2.511575	-0.335420	-1.020508	-0.180664	-0.577393	0.296913	-0.003545	-0.054463	0.723190	0.118249	-0.637571	0.237730	-39.714758	-78.067990	69.035210
39298		13.888280	-0.024948	-1.498116	2.440041	3.405317	3.513044	-0.637715	0.637511	-0.024939	-0.994385	-0.166260	-0.608398	0.346894	-0.001045	-0.040211	0.729156	0.110707	-0.633741	0.233340	-37.947416	-77.384309	66.282646
39299		11.721016	-1.081310	0.739203	1.230732	1.256479	1.847342	-0.593164	2.641179	0.063957	-0.952637	-0.151123	-0.677002	0.293448	-0.026708	0.008994	0.750208	0.096956	-0.611247	0.232735	-30.723686	-74.207562	57.949183
39300		10.187462	-3.202115	2.613527	0.692058	-1.557268	1.048453	-0.635535	0.250718	-0.089923	-0.948730	-0.139893	-0.674561	0.254801	-0.079821	0.065174	0.753042	0.090877	-0.610732	0.227325	-30.661810	-73.972603	56.928871
39301		12.311365	-3.659141	1.147792	2.325343	-0.986471	2.831630	-0.583940	-1.263974	-0.343634	-0.971680	-0.129883	-0.650391	0.306876	-0.092562	0.034221	0.744823	0.091505	-0.623918	0.218156	-33.581816	-75.775846	59.077567
39302		13.080959	-3.707848	1.824929	1.982973	-1.184112	3.708281	-0.113140	2.093559	-0.331230	-0.917480	-0.138916	-0.707764	0.327683	-0.093996	0.037185	0.761832	0.087215	-0.604261	0.216504	-26.834774	-73.426763	51.903831
39303		9.245884	-5.365150	12.916679	-6.828746	-7.589705	3.478966	0.544511	3.923944	-0.417391	-0.851563	-0.160889	-0.776367	0.245861	-0.137527	0.310166	0.790963	0.084766	-0.564357	0.220666	-18.251990	-68.463053	43.651803
39304		9.062602	-7.025793	7.919059	-1.419734	-7.314984	1.960769	0.749424	-2.444002	-1.067919	-0.894287	-0.202393	-0.716797	0.218025	-0.180480	0.203049	0.775312	0.106338	-0.585100	0.212702	-16.014897	-72.270818	42.411570
39305		8.248180	-2.148448	6.121000	-2.155707	-2.819016	0.061036	0.801483	1.763942	-1.364145	-0.842529	-0.251709	-0.758789	0.208530	-0.058753	0.147872	0.790349	0.119284	-0.563924	0.207628	-7.743013	-70.207852	34.885343
39306		6.813817	4.890924	10.222835	-9.079183	1.085179	-0.261676	0.683938	-1.490866	-0.901745	-0.883545	-0.282227	-0.696777	0.166878	0.118170	0.259725	0.780866	0.136168	-0.575488	0.201296	-3.622764	-72.473593	31.566037
39307		14.799373	5.162741	1.148929	-0.169139	6.033671	4.692807	0.172619	-3.581735	-0.187187	-0.945801	-0.286865	-0.630371	0.368497	0.128119	0.045525	0.754420	0.148019	-0.609205	0.194448	-3.632362	-77.622684	31.828241
39308		12.123582	1.640318	-2.522597	3.731981	4.086063	1.385531	-0.067221	1.168556	0.263701	-0.915283	-0.272217	-0.674561	0.301988	0.041949	-0.067517	0.762641	0.142468	-0.598870	0.198585	-4.851279	-75.937250	32.977305
39309		7.303273	-1.968465	3.211901	-0.134730	-2.066728	-1.861776	-0.267577	2.570731	0.424665	-0.875732	-0.259521	-0.725586	0.185296	-0.047977	0.074533	0.780821	0.130223	-0.575576	0.205116	-6.160046	-72.225484	33.933393
39310		5.106506	-3.826106	3.841312	-0.184009	-4.170457	-3.644698	-0.263025	-0.107842	0.315107	-0.883057	-0.246582	-0.721191	0.127907	-0.094832	0.096518	0.779577	0.125606	-0.577917	0.206144	-8.037414	-72.335016	35.503423
39311		5.296171	-3.307372	0.958608	1.997377	-2.422516	-4.331054	-0.101028	-0.602165	0.022420	-0.899170	-0.238281	-0.705566	0.132242	-0.082616	0.025065	0.775227	0.125945	-0.584172	0.204706	-8.732690	-73.195104	36.074259
39312		5.365914	-1.471882	1.301515	0.848515	-0.957247	-4.243402	0.333077	0.188730	-0.119130	-0.887207	-0.253418	-0.716553	0.134169	-0.037131	0.032067	0.776298	0.129489	-0.581407	0.206303	-7.619439	-72.963256	35.403025
39313		5.764821	-0.455578	2.492985	-0.551404	-0.554448	-3.564195	0.553111	-0.523471	0.018366	-0.906494	-0.269775	-0.692383	0.143712	-0.011791	0.063185	0.771440	0.135997	-0.585171	0.209668	-7.284436	-73.714583	35.874050
39314		7.548161	-1.423585	0.945157	1.475961	-0.498865	-2.232419	0.655011	-1.632951	0.145243	-0.935059	-0.277588	-0.650391	0.188238	-0.035460	0.027184	0.757733	0.145435	-0.599412	0.213059	-8.332148	-76.015562	37.925886
39315		9.399273	-2.080692	-0.604065	3.213046	-0.162748	-0.719617	0.853937	-1.346556	0.153048	-0.956787	-0.291748	-0.603760	0.235297	-0.051430	-0.011694	0.745450	0.155871	-0.610158	0.218439	-9.383219	-77.899527	40.255025
39316		10.461066	-1.402773	-0.953456	3.141685	0.678487	0.285774	0.716311	-0.549951	0.071729	-0.967529	-0.301025	-0.590576	0.261715	-0.034630	-0.022349	0.739527	0.163435	-0.613541	0.223509	-9.533923	-78.671934	41.452351
39317		10.961047	-0.666892	0.077525	1.940888	0.845287	0.962889	0.514925	0.303441	0.009987	-0.958008	-0.311768	-0.594971	0.274033	-0.016646	0.000792	0.740666	0.167207	-0.609416	0.228185	-8.595715	-78.252713	41.242693
