// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40ACF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
41201		9.642179	-2.428581	-2.130935	-0.067312	-0.031944	0.356134	0.076170	0.020975	0.117920	-0.769531	0.678711	-0.504639	0.096434	-0.024221	-0.021329	-0.589654	-0.073352	0.776482	-0.209769	-132.155776	-71.170903	155.572479
41202		9.624204	-2.607071	-2.031858	-0.089416	-0.219622	0.360529	0.081954	0.020508	0.136737	-0.767090	0.678711	-0.504639	0.096258	-0.025997	-0.020339	-0.589509	-0.072913	0.776426	-0.210534	-131.913773	-71.106565	155.359996
41203		9.645160	-2.399856	-1.975970	-0.224680	-0.034697	0.318510	0.091953	0.026642	0.158876	-0.765137	0.681152	-0.506836	0.096468	-0.023913	-0.019784	-0.589360	-0.072410	0.776350	-0.211405	-131.635941	-71.034590	155.115607
41204		9.784211	-2.252217	-1.912455	-0.380784	0.111397	0.400212	0.084623	0.021649	0.177810	-0.762939	0.683350	-0.504639	0.097860	-0.022427	-0.019145	-0.589174	-0.071818	0.776302	-0.212301	-131.349137	-70.952412	154.857168
41205		9.992887	-2.085193	-2.191524	-0.262606	0.429458	0.615887	0.087084	0.034083	0.212215	-0.760986	0.689941	-0.504883	0.099947	-0.020736	-0.021941	-0.588997	-0.071086	0.776226	-0.213313	-131.011013	-70.859425	154.545783
41206		10.084113	-2.120757	-2.467753	-0.039285	0.552417	0.768899	0.092918	0.048063	0.244080	-0.762939	0.685547	-0.504639	0.100861	-0.021073	-0.024712	-0.588839	-0.070233	0.776112	-0.214445	-130.620606	-70.757427	154.182369
41207		10.124905	-2.549641	-3.050622	0.611389	0.446705	1.038453	0.168529	0.030570	0.252066	-0.758789	0.692383	-0.509277	0.101276	-0.025343	-0.030543	-0.588574	-0.069590	0.775970	-0.215888	-130.204876	-70.644393	153.837812
41208		10.181413	-1.856709	-2.174340	-0.436865	0.745429	0.727222	0.247579	0.062665	0.255627	-0.765381	0.692139	-0.507080	0.101831	-0.018410	-0.021798	-0.588403	-0.069131	0.775647	-0.217658	-129.704175	-70.540913	153.450942
41209		10.043340	-1.788719	-1.789358	-0.766327	0.660658	0.494890	0.190084	0.058437	0.307152	-0.758789	0.696777	-0.511475	0.100455	-0.017716	-0.017940	-0.588175	-0.068307	0.775414	-0.219355	-129.194214	-70.411753	153.019032
41210		9.854433	-2.035713	-1.906053	-0.525261	0.498958	0.403086	0.170061	0.061114	0.349554	-0.756592	0.694580	-0.513672	0.098574	-0.020169	-0.019108	-0.587918	-0.067257	0.775206	-0.221098	-128.655673	-70.263583	152.544188
41211		9.791523	-1.907271	-1.901401	-0.567513	0.644368	0.306082	0.173577	0.057161	0.397362	-0.756592	0.698975	-0.515869	0.097947	-0.018862	-0.019058	-0.587586	-0.066036	0.775020	-0.222994	-128.081236	-70.090745	152.032882
