// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B40A40
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw
30958		8.918063	-1.077879	3.104304	-1.310961	-0.191046	-0.401251	-0.295407	0.261737	-0.469886	-1.071533	0.099609	0.145996	0.089196	-0.010943	0.030942	-0.756892	0.173000	0.598260	0.198170	-6.301342	-76.957343	-24.333486
30959		10.054214	-0.580161	3.074654	-0.793743	0.079171	0.686877	-0.294141	0.326319	-0.370261	-1.071289	0.094971	0.141846	0.100581	-0.005943	0.030591	-0.757210	0.172725	0.597096	0.200687	-5.508516	-76.800652	-25.320825
30960		10.023219	-0.786381	3.339240	-1.109639	0.006476	0.723081	-0.301644	0.321940	-0.201811	-1.077881	0.092773	0.137451	0.100278	-0.007915	0.033243	-0.757672	0.172982	0.595794	0.202581	-5.146681	-76.635543	-25.870102
30961		9.845818	-0.803258	3.480615	-1.249133	0.064190	0.586135	-0.290125	0.310790	-0.066018	-1.080078	0.090332	0.133057	0.098509	-0.008015	0.034665	-0.758246	0.173613	0.594424	0.203917	-5.114144	-76.469115	-26.074686
30962		9.649789	-0.745925	3.688859	-1.401828	0.232950	0.447089	-0.328751	0.351948	0.054168	-1.075684	0.090332	0.124023	0.096565	-0.007373	0.036731	-0.759026	0.174703	0.592753	0.204946	-5.378880	-76.273268	-25.996056
30963		8.776506	-0.954753	3.720154	-1.685786	0.163886	-0.383514	-0.331416	0.333230	0.121862	-1.080078	0.090332	0.126465	0.087833	-0.009433	0.037071	-0.759814	0.176023	0.591085	0.205710	-5.800555	-76.083945	-25.757572
30964		8.181873	-1.307193	3.697381	-1.947397	-0.080284	-0.951335	-0.278974	0.288276	0.101677	-1.075684	0.094971	0.123779	0.081879	-0.012979	0.036874	-0.760491	0.177129	0.589659	0.206353	-6.148597	-75.921289	-25.563620
30965		7.654618	-1.672578	3.653764	-2.194947	-0.354030	-1.458197	-0.228081	0.222485	0.043647	-1.075928	0.097168	0.121582	0.076590	-0.016667	0.036471	-0.760957	0.177939	0.588583	0.207010	-6.347571	-75.799278	-25.493407
30966		7.305807	-1.752955	3.612750	-2.265983	-0.405283	-1.800155	-0.203450	0.181040	-0.039839	-1.080078	0.092529	0.117188	0.073087	-0.017507	0.036079	-0.761234	0.178451	0.587765	0.207873	-6.354233	-75.706303	-25.606884
30967		7.146258	-1.706711	3.589652	-2.251182	-0.362455	-1.959772	-0.196091	0.111779	-0.115475	-1.082764	0.099121	0.114746	0.071473	-0.017073	0.035873	-0.761235	0.178785	0.587283	0.208941	-6.205854	-75.657304	-25.876188
